mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.14372310638427735,0.08549060329610057,0.0133270263671875,0.0006989380690967199,0.1,5,50,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.38649845123291016,0.3483880035294115,0.016060304641723634,0.0038990639478362807,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.35036296844482423,0.3373739419534661,0.018831968307495117,0.011905534591891398,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.23147687911987305,0.28340708628919575,0.02063608169555664,0.009184979251376839,0.1,7,50,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.5151517391204834,0.22753419886264456,0.019745063781738282,0.012775375044024196,0.1,7,100,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.16793417930603027,0.024440595013966306,0.01202387809753418,0.00031755011274459295,0.1,7,200,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.1459742546081543,0.10532041749792422,0.012819480895996094,0.0014892643393775115,0.2,3,50,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.14085917472839354,0.06063290720531627,0.013281583786010742,0.0018686651535222158,0.2,3,100,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.1936807632446289,0.10246652899231792,0.01628713607788086,0.003919955424986979,0.2,3,200,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.1349541187286377,0.06291984514580143,0.014038276672363282,0.0016619127456597492,0.2,5,50,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 50}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.09924488067626953,0.03392117120231717,0.02546086311340332,0.011963078373025987,0.2,5,100,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.23496122360229493,0.08130372287197815,0.017138862609863283,0.003885255677453078,0.2,5,200,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.2748125076293945,0.06252484956265637,0.013149785995483398,0.0012749184977876291,0.2,7,50,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 50}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.1714611053466797,0.09693623976416739,0.013591623306274414,0.00264828952224876,0.2,7,100,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.13453845977783202,0.029359929397220853,0.012950658798217773,0.0029434599400681937,0.2,7,200,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
